Time,v1,v2,Tank1,Tank2,Tank3,Tank4
7.508938617327166867e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.560078233784222557e-01,1.962110085478790400e-01,4.106317080186244750e-01,1.001103147574786134e-01
7.509938742342793375e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.563127283347955365e-01,1.954506966565521531e-01,4.114355646445372883e-01,9.961738587326693373e-02
7.510938867358419884e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.566171913928934289e-01,1.946932191186316330e-01,4.122338885227753713e-01,9.913302979955060379e-02
7.511938992374047302e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.569211839165580435e-01,1.939386833277888800e-01,4.130267230357911323e-01,9.865711781532304769e-02
7.512939117389673811e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.572246782005441434e-01,1.931871936322357430e-01,4.138141111431639652e-01,9.818952252144562409e-02
7.513939242405301229e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.575276474452400599e-01,1.924388513640084564e-01,4.145960953870891919e-01,9.773011784405787050e-02
7.514939367420927738e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.578300657320728662e-01,1.916937548687032977e-01,4.153727178977619783e-01,9.727877903749315713e-02
7.515939492436555156e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.581319079995875121e-01,1.909519995356369904e-01,4.161440203986754294e-01,9.683538268669462934e-02
7.516939617452181665e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.584331500201758836e-01,1.902136778284324869e-01,4.169100442118252037e-01,9.639980670914297112e-02
7.517939742467809083e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.587337683774446007e-01,1.894788793160023799e-01,4.176708302628366898e-01,9.597193035629351943e-02
7.518939867483435592e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.590337404441876101e-01,1.887476907039588314e-01,4.184264190859784960e-01,9.555163421455119266e-02
7.519939992499063010e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.593330443609712044e-01,1.880201958663763051e-01,4.191768508291247031e-01,9.513880020575508911e-02
7.520940117514689518e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.596316590152900838e-01,1.872964758779563088e-01,4.199221652586065390e-01,9.473331158721513823e-02
7.521940242530316937e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.599295640212960168e-01,1.865766090465363625e-01,4.206624017639989388e-01,9.433505295128266632e-02
7.522940367545943445e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.602267397000720350e-01,1.858606709459577344e-01,4.213975993628165106e-01,9.394391022447831641e-02
7.523940492561570863e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.605231670604475580e-01,1.851487344492520337e-01,4.221277967051461077e-01,9.355977066617125748e-02
7.524940617577197372e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.608188277803260791e-01,1.844408697621646165e-01,4.228530320781846985e-01,9.318252286683513519e-02
